"Day","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","New customers","Returning customers","Day (previous_year)","Orders (previous_year)","Gross sales (previous_year)","Discounts (previous_year)","Returns (previous_year)","Net sales (previous_year)","Shipping charges (previous_year)","Duties (previous_year)","Additional fees (previous_year)","Taxes (previous_year)","Total sales (previous_year)","New customers (previous_year)","Returning customers (previous_year)","Orders (previous_year) ","Gross sales (previous_year) ","Discounts (previous_year) ","Returns (previous_year) ","Net sales (previous_year) ","Shipping charges (previous_year) ","Duties (previous_year) ","Additional fees (previous_year) ","Taxes (previous_year) ","Total sales (previous_year) ","New customers (previous_year) ","Returning customers (previous_year) "
"2025-10-10",99,45754.03,-5122.49,-1409.89,39221.65,20.08,0,0,2834.43,42076.16,61,38,"2024-10-09",80,30194.37,-2365.75,-834,26994.62,50,0,0,1871.27,28915.89,40,40,23.75,51.531,-116.527,-69.051,45.294,-59.84,,,51.47,45.512,52.5,-5
"2025-10-11",86,50691.47,-4544.41,-7669.18,38477.88,9,0,0,2991.82,41478.7,54,32,"2024-10-10",92,39969.36,-3101.3,-2369.35,34498.71,1110,0,0,2484.06,38092.77,53,37,-6.521739130434782,26.825,-46.532,-223.682,11.534,-99.189,,,20.44,8.888,1.8867924528301887,-13.513513513513514
"2025-10-12",106,48386.17,-6026.56,-959.7,41399.91,36,0,0,3024.2,44460.11,77,29,"2024-10-11",111,51245.35,-2567.2,-10118.02,38560.13,894,0,0,3087.56,42541.69,57,53,-4.504504504504505,-5.579,-134.752,90.514,7.364,-95.973,,,-2.052,4.509,35.08771929824562,-45.283018867924525
"2025-10-13",122,63830.84,-4700.04,-2570.13,56560.67,72,0,0,4539.8,61172.47,66,55,"2024-10-12",103,35078.73,-2044.83,-449,32584.9,153,0,0,2399.35,35137.25,33,69,18.446601941747574,81.964,-129.849,-472.412,73.579,-52.941,,,89.209,74.095,100,-20.28985507246377
"2025-10-14",127,71461.64,-10480.41,-2140.55,58840.68,1044,0,0,4813.36,64698.04,77,49,"2024-10-13",77,39780.55,-1705.83,0,38074.72,9,0,0,3008.66,41092.38,39,35,64.93506493506493,79.639,-514.387,,54.54,11500,,,59.983,57.445,97.43589743589743,40
"2025-10-15",125,55904.95,-5963.73,-14838.18,35103.04,47.14,0,0,2775.75,37925.93,81,44,"2024-10-14",99,50255.91,-3252.43,-699,46304.48,1122,0,0,3545.55,50972.03,55,43,26.262626262626263,11.24,-83.362,-2022.772,-24.19,-95.798,,,-21.711,-25.594,47.27272727272727,2.3255813953488373
"2025-10-16",143,55836.47,-9257.79,-3702.17,42876.51,9,0,0,3208.8,46094.31,97,44,"2024-10-15",112,52917.49,-2487.9,-3584.97,46844.62,48,0,0,3266.14,50158.76,51,61,27.678571428571427,5.516,-272.112,-3.269,-8.47,-81.25,,,-1.755,-8.103,90.19607843137256,-27.868852459016395
"2025-10-17",93,58424.94,-5972.01,-1317.46,51135.47,27,0,0,3851.75,55014.22,64,28,"2024-10-16",77,39452.36,-1108.9,-4339.25,34004.21,27,0,0,2632.3,36663.51,41,35,20.77922077922078,48.089,-438.552,69.638,50.379,0,,,46.326,50.051,56.09756097560975,-20
"2025-10-18",105,54025.8,-3450.01,-1265.1,49310.69,18,0,0,3648.65,52977.34,65,40,"2024-10-17",93,42407.59,-1722.75,-559.2,40125.64,228,0,0,3114.61,43468.25,50,42,12.903225806451612,27.396,-100.261,-126.233,22.89,-92.105,,,17.146,21.875,30,-4.761904761904762
"2025-10-19",74,34623.83,-3100.07,-1520.07,30003.69,18,0,0,2373.83,32395.52,53,20,"2024-10-18",98,46619.8,-1858.89,-8179.29,36581.62,45,0,0,3255.46,39882.08,53,43,-24.489795918367346,-25.731,-66.769,81.415,-17.981,-60,,,-27.081,-18.771,0,-53.48837209302326
"2025-10-20",99,47562,-4369.32,-2127.45,41065.23,9,0,0,3091.98,44166.21,69,29,"2024-10-19",71,38785.73,-2094.5,-3694.85,32996.38,943,0,0,2277.32,36216.7,41,30,39.436619718309856,22.627,-108.609,42.421,24.453,-99.045,,,35.772,21.949,68.29268292682927,-3.3333333333333335
"2025-10-21",126,52478.93,-3667.29,-5191.27,43620.37,54,0,0,3022.75,46697.12,73,50,"2024-10-20",75,43078,-2361.46,0,40716.54,27,0,0,2959.31,43702.85,48,27,68,21.823,-55.297,,7.131,100,,,2.143,6.851,52.083333333333336,85.18518518518519
"2025-10-22",125,56025.6,-5076.86,-3829.41,47119.33,48,0,0,3722.68,50890.01,88,37,"2024-10-21",101,55554.04,-4361.62,0,51192.42,63,0,0,3744.61,55000.03,65,35,23.762376237623762,0.848,-16.398,,-7.956,-23.809,,,-0.585,-7.472,35.38461538461539,5.714285714285714
"2025-10-23",127,62157.89,-5699.3,-7510.85,48947.74,36,0,0,4035.87,53019.61,75,51,"2024-10-22",110,45019.88,-3565.03,-6075.26,35379.59,45,0,0,2268.88,37693.47,61,48,15.454545454545455,38.067,-59.866,-23.63,38.35,-20,,,77.879,40.659,22.950819672131146,6.25
"2025-10-24",108,60008.03,-4513.63,-3619.44,51874.96,18,0,0,4073.89,55966.85,72,36,"2024-10-23",118,46527.86,-5650.66,-699,40178.2,27,0,0,2843.42,43048.62,61,57,-8.474576271186441,28.972,20.122,-417.802,29.112,-33.333,,,43.274,30.008,18.0327868852459,-36.8421052631579
"2025-10-25",109,50970.75,-5915.67,-36.7,45018.38,36,0,0,3178.09,48232.47,60,48,"2024-10-24",99,50869.48,-4927.26,-1317,44625.22,36,0,0,3463.18,48124.4,57,40,10.1010101010101,0.199,-20.06,97.213,0.881,0,,,-8.232,0.224,5.2631578947368425,20
"2025-10-26",104,67354.46,-8626.01,-7046.76,51681.69,972,0,0,4854.97,57508.66,74,29,"2024-10-25",139,48699.44,-3090.77,-3939.3,41669.37,54,0,0,3226.45,44949.82,74,65,-25.179856115107913,38.306,-179.089,-78.883,24.028,1700,,,50.474,27.939,0,-55.38461538461539
"2025-10-27",107,60304.07,-6738.65,-16372.45,37192.97,36,0,0,2941.25,40170.22,73,34,"2024-10-26",118,59381.05,-3632.71,-12325.67,43422.67,921,0,0,3268.95,47612.62,67,50,-9.322033898305085,1.554,-85.499,-32.832,-14.346,-96.091,,,-10.024,-15.631,8.955223880597014,-32
"2025-10-28",111,63442.79,-5232.69,0,58210.1,45,0,0,4017.63,62272.73,70,41,"2024-10-27",69,34941.09,-3172.3,-777.66,30991.13,45,0,0,2075.59,33111.72,42,27,60.869565217391305,81.57,-64.949,100,87.828,0,,,93.565,88.068,66.66666666666667,51.851851851851855
"2025-10-29",113,67632.2,-6137.98,-2912.89,58581.33,18,0,0,4380.16,62979.49,72,41,"2024-10-28",99,51261.52,-6226.07,-1078.2,43957.25,73,0,0,3381.28,47411.53,58,41,14.141414141414142,31.935,1.414,-170.162,33.268,-75.342,,,29.541,32.835,24.137931034482758,0
"2025-10-30",108,55206.63,-4998.47,-3179.4,47028.76,75,0,0,3670.89,50774.65,69,37,"2024-10-29",110,47684.33,-3830.62,-1113.1,42740.61,18,0,0,3070.62,45829.23,53,55,-1.8181818181818181,15.775,-30.487,-185.634,10.032,316.666,,,19.548,10.79,30.18867924528302,-32.72727272727273
"2025-10-31",105,50373.41,-3723.78,-8969.56,37680.07,36,0,0,2925.31,40641.38,62,43,"2024-10-30",103,55390.3,-4366.85,-2493.18,48530.27,100,0,0,3498.02,52128.29,62,41,1.941747572815534,-9.057,14.726,-259.763,-22.357,-64,,,-16.372,-22.035,0,4.878048780487805
"2025-11-01",109,73297.53,-4531.75,-0.98,68764.8,63,0,0,5201.81,74029.61,63,43,"2024-10-31",69,40144.85,-1933.73,-512.65,37698.47,87,0,0,2740.15,40525.62,41,27,57.971014492753625,82.582,-134.352,99.808,82.407,-27.586,,,89.836,82.673,53.65853658536585,59.25925925925926
"2025-11-02",115,65005.22,-3914.39,-4072.36,57018.47,72,0,0,4566.8,61657.27,75,39,"2024-11-01",123,60553.55,-3162.85,-11172.82,46217.88,27,0,0,3354.54,49599.42,69,53,-6.504065040650406,7.351,-23.761,63.551,23.368,166.666,,,36.137,24.31,8.695652173913043,-26.41509433962264
"2025-11-03",118,59421.13,-4183.58,-10482.96,44754.59,-963,0,0,4024.79,47816.38,76,42,"2024-11-02",91,60496.24,-4687.95,-2184.5,53623.79,36,0,0,3762.21,57422,58,33,29.67032967032967,-1.777,10.758,-379.879,-16.539,-2775,,,6.979,-16.728,31.03448275862069,27.272727272727273
"2025-11-04",124,46671.22,-4398.3,-10399.93,31872.99,36,0,0,2343.61,34252.6,77,44,"2024-11-03",92,69229.32,-3057.37,-799,65372.95,876,0,0,4944.05,71193,64,27,34.78260869565217,-32.584,-43.858,-1201.618,-51.244,-95.89,,,-52.597,-51.887,20.3125,62.96296296296296
"2025-11-05",112,60435.91,-5112.38,-7197.62,48125.91,18,0,0,3926.26,52070.17,72,39,"2024-11-04",102,54458.35,-2760.7,-13111.8,38585.85,-822,0,0,2638.28,40402.13,67,35,9.803921568627452,10.976,-85.184,45.105,24.724,102.189,,,48.818,28.879,7.462686567164179,11.428571428571429
"2025-11-06",127,69132.37,-11360.95,-2429.01,55342.41,27,0,0,4166.72,59536.13,81,46,"2024-11-05",99,38163.28,-2087.05,-1842.1,34234.13,18,0,0,2610.23,36862.36,51,46,28.282828282828284,81.148,-444.354,-31.86,61.658,50,,,59.63,61.509,58.8235294117647,0
"2025-11-07",121,72693.47,-8890.54,-3460.97,60341.96,1008,0,0,4435.57,65785.53,79,41,"2024-11-06",111,64474.73,-5895.04,-793,57786.69,61,0,0,3636.54,61484.23,60,50,9.00900900900901,12.747,-50.813,-336.44,4.421,1552.459,,,21.972,6.995,31.666666666666668,-18
"2025-11-08",114,70356.62,-6553.13,-1404,62399.49,9,0,0,4851.62,67260.11,74,40,"2024-11-07",176,99828.27,-11805.73,-427.73,87594.81,36,0,0,6708.43,94339.24,97,78,-35.22727272727273,-29.522,44.491,-228.244,-28.763,-75,,,-27.678,-28.703,-23.711340206185568,-48.717948717948715
"2025-11-09",99,62734.63,-3103.45,-66.15,59565.03,0,0,0,4671.51,64236.54,72,27,"2024-11-08",478,342149.12,-63160.83,-11779.8,267208.49,2001,0,0,19066.22,288275.71,283,187,-79.2887029288703,-81.664,95.086,99.438,-77.708,-100,,,-75.498,-77.716,-74.5583038869258,-85.56149732620321
"2025-11-10",126,59816.05,-5649.73,-6210.01,47956.31,54,0,0,4434.05,52444.36,85,41,"2024-11-09",309,217157.65,-33955.09,-2756.73,180445.83,917,0,0,13270.47,194633.3,206,102,-59.22330097087379,-72.455,83.361,-125.267,-73.423,-94.111,,,-66.587,-73.054,-58.737864077669904,-59.80392156862745
"2025-11-11",123,66572.37,-4817.48,-3426.6,58328.29,54,0,0,4414.28,62796.57,86,37,"2024-11-10",323,215020.18,-36556.99,-2546.25,175916.94,1930,0,0,12604.48,190451.42,218,104,-61.919504643962846,-69.039,86.822,-34.574,-66.843,-97.202,,,-64.978,-67.027,-60.55045871559633,-64.42307692307692
"2025-11-12",134,81995.48,-9041.71,-20656.42,52297.35,100,0,0,4491.29,56888.64,85,46,"2024-11-11",298,200873.19,-28785.87,-5729.2,166358.12,45,0,0,12376.46,178779.58,195,100,-55.033557046979865,-59.18,68.589,-260.546,-68.563,122.222,,,-63.711,-68.179,-56.41025641025641,-54
"2025-11-13",332,204044.37,-23552.03,-4066.61,176425.73,127,0,0,14212.11,190764.84,197,132,"2024-11-12",305,177219.16,-30036.31,-7272.08,139910.77,75,0,0,11060.84,151046.61,190,115,8.852459016393443,15.136,21.588,44.079,26.098,69.333,,,28.49,26.295,3.6842105263157894,14.782608695652174
"2025-11-14",381,239715.72,-27617.74,-3824.21,208273.77,153,0,0,17250.46,225677.23,253,121,"2024-11-13",274,166950.3,-27015.33,-3043,136891.97,962,0,0,10257.49,148111.46,162,110,39.051094890510946,43.585,-2.229,-25.672,52.144,-84.095,,,68.174,52.369,56.17283950617284,10
"2025-11-15",340,235319.98,-29738.5,-5135.02,200446.46,944,0,0,15037.32,216427.78,231,108,"2024-11-14",272,150180.57,-20955.43,-1674,127551.14,27,0,0,9194.15,136772.29,173,98,25,56.691,-41.913,-206.751,57.149,3396.296,,,63.553,58.239,33.52601156069364,10.204081632653061
"2025-11-16",366,230997.93,-26797.03,-3422.35,200778.55,81,0,0,15822.36,216681.91,259,104,"2024-11-15",270,153866.71,-22914.77,-7047.78,123904.16,9,0,0,8846.56,132759.72,177,93,35.55555555555556,50.128,-16.942,51.44,62.043,800,,,78.853,63.213,46.32768361581921,11.827956989247312
"2025-11-17",114,80814.02,-10087.33,-6013.77,64712.92,36,0,0,6054.06,70802.98,80,34,"2024-11-16",248,152723,-21627.53,-359.2,130736.27,84,0,0,9766.1,140586.37,164,80,31.03448275862069,46.382,-25.951,,37.107,300,,,79.351,39.973,50.943396226415096,9.67741935483871
