"Day","Gross sales","Discounts","Orders","Average order value","Day (previous_year)","Gross sales (previous_year)","Discounts (previous_year)","Orders (previous_year)","Average order value (previous_year)"
"2025-04-27",147841.87,-20566.38,273,466.21,"2024-04-26",82359.72,-9736.47,197,368.645
"2025-04-28",132249.83,-16442.71,261,443.705,"2024-04-27",87635.28,-8767.5,162,486.838
"2025-04-29",127346.31,-18921.87,235,461.38,"2024-04-28",109528.03,-10817.87,414,238.43
"2025-04-30",104175.87,-11430.87,191,485.575,"2024-04-29",108678.54,-10468.46,225,436.489
"2025-05-01",149215.34,-18106.85,283,463.28,"2024-04-30",134127.42,-13516.06,231,522.127
"2025-05-02",149312.02,-21303.66,263,486.723,"2024-05-01",99658.79,-10623.87,209,426.004
"2025-05-03",120900.95,-14022.06,216,494.809,"2024-05-02",118627.33,-13091.18,227,464.916
"2025-05-04",182518.37,-23760.5,344,461.505,"2024-05-03",116836.43,-12749.12,306,340.154
"2025-05-05",144829.24,-14748.76,268,485.374,"2024-05-04",109914.47,-11341.59,185,532.826
"2025-05-06",101253.89,-8370.81,192,483.766,"2024-05-05",142955.7,-14814.71,228,562.021
"2025-05-07",78827.32,-3901.95,167,448.654,"2024-05-06",92192.85,-4948.42,168,519.312
"2025-05-08",75354.89,-5109.01,145,484.454,"2024-05-07",85271.67,-5774.34,165,481.802
"2025-05-09",115088.6,-10005.3,206,510.113,"2024-05-08",100889.51,-8425.36,180,513.689
"2025-05-10",102761.74,-11520.98,218,418.535,"2024-05-09",121620.45,-12708.41,254,428.787
"2025-05-11",135729.46,-13302.48,242,505.896,"2024-05-10",87784.13,-7884.59,188,424.997
"2025-05-12",79786.5,-2858.13,145,530.54,"2024-05-11",72345.98,-4765.88,124,545
"2025-05-13",69377.51,-4119.58,137,476.335,"2024-05-12",89897.18,-6788.17,152,546.769
"2025-05-14",62798.8,-3153.71,123,484.919,"2024-05-13",89681.79,-7829.07,151,542.07
"2025-05-15",74340.32,-4918.99,139,499.434,"2024-05-14",85006.96,-6647.5,166,472.044
"2025-05-16",60154.34,-3492.98,138,410.589,"2024-05-15",79135.85,-7025.75,166,434.398
"2025-05-17",74262.6,-4374.88,139,502.789,"2024-05-16",66296.1,-3844.59,135,462.603
"2025-05-18",62729.86,-3804.75,123,479.065,"2024-05-17",66255.39,-4753.13,198,310.617
"2025-05-19",42768.6,-2300.96,101,400.669,"2024-05-18",70146.53,-5105.07,133,489.033
"2025-05-20",95686.61,-11106.5,207,408.599,"2024-05-19",60888.66,-5152.17,120,464.47
"2025-05-21",167049.53,-23047.58,315,457.149,"2024-05-20",63504.16,-4607.27,136,433.065
"2025-05-22",156704.27,-23668.38,315,422.336,"2024-05-21",56171.74,-3780.12,114,459.575
"2025-05-23",187828.74,-28557.14,321,496.173,"2024-05-22",60938.42,-2796.46,116,501.223
"2025-05-24",211104.61,-30706.89,379,475.983,"2024-05-23",98911.87,-8450.21,225,402.051
"2025-05-25",243220.22,-34826.81,435,479.065,"2024-05-24",253480.15,-44251.31,411,509.072
"2025-05-26",388444.87,-55994.18,641,518.643,"2024-05-25",239616.01,-40658.25,363,548.093
"2025-05-27",253136.17,-38215.32,427,503.327,"2024-05-26",239807.2,-43564.45,394,498.078
"2025-05-28",103222.57,-12730.46,178,508.382,"2024-05-27",475361.99,-84268.2,777,503.338
