Session default channel group,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Organic Social,2024-12-20,4373,1662,0.3800594557512005,8.985593414132175,5.999542648067688,26236,9,0.0020580836954036,5067.14
Paid Search,2024-12-30,4342,2016,0.4643021649009673,34.83602026715799,8.466144633809304,36760,55,0.0124366651312759,31704.188607
Paid Search,2024-12-09,4317,2077,0.4811211489460273,36.62705582580496,10.509613157285152,45370,81,0.0187630298818624,51887.6
Direct,2024-12-23,4314,1867,0.4327770050996755,22.56606397774687,7.260083449235049,31320,38,0.0088085303662494,21154.15
Cross-network,2024-12-01,4313,1810,0.4196614885230698,32.04683514954788,8.45977277996754,36487,48,0.0111291444470206,25690.4
Paid Search,2024-12-17,4305,2040,0.4738675958188153,39.003948896631826,9.664576074332173,41606,81,0.0188153310104529,53014.6
Paid Search,2024-12-25,4206,2086,0.4959581550166428,38.61055634807418,9.719923918212078,40882,44,0.0104612458392772,23545.15
Organic Shopping,2024-12-17,4200,1111,0.2645238095238095,7.759047619047619,5.212857142857143,21894,9,0.0021428571428571,4809.4
Paid Search,2024-12-13,4193,1966,0.4688766992606725,35.848080133555925,9.503458144526592,39848,66,0.0157405199141426,41891.0
Organic Shopping,2024-12-18,4155,1178,0.2835138387484958,8.740072202166065,5.316967509025271,22092,9,0.0021660649819494,8329.8
Paid Search,2024-12-05,4109,1855,0.4514480408858603,31.644439036261865,9.220491603796544,37887,44,0.0102214650766609,31947.394927
Paid Search,2024-12-14,3981,1941,0.4875659382064808,36.87415222305953,10.280833961316253,40928,58,0.0145692037176588,41074.85
Direct,2024-12-24,3973,1647,0.4145482003523785,22.243392902089106,7.158570349861566,28441,42,0.0105713566574377,28023.55
Paid Search,2024-12-11,3921,1910,0.4871206324917113,37.49349655700077,10.076511094108646,39510,55,0.0137719969395562,28219.290399
Paid Social,2024-12-02,3917,1051,0.268317589992341,3.3372478937962726,4.799591524125606,18800,2,0.000510594842992,948.2
Paid Search,2024-12-18,3915,1957,0.4998722860791826,40.166283524904216,10.00766283524904,39180,67,0.0171136653895274,37514.176543
Paid Social,2024-12-03,3888,989,0.2543724279835391,3.1031378600823047,4.765689300411522,18529,2,0.000514403292181,3297.0
Paid Search,2024-12-23,3881,1837,0.4733316155629992,36.25199690801339,9.56171089925277,37109,37,0.0092759598041741,34362.75
Paid Social,2024-12-01,3870,1035,0.2674418604651162,3.7906976744186047,4.8679586563307495,18839,0,0.0,0.0
Organic Shopping,2024-12-23,3863,1145,0.2964017602899301,7.94020191560963,5.342997670204504,20640,7,0.0018120631633445,6221.6
Referral,2024-12-03,3826,1282,0.3350757971772086,17.234709879769994,6.530580240460011,24986,15,0.0039205436487192,8787.0
Paid Social,2024-12-09,3821,910,0.2381575503794818,2.496205181889558,4.734101020675216,18089,1,0.0002617115938236,606.0
Paid Social,2024-12-25,3766,940,0.2496016994158258,3.2023366967604887,4.71959638874137,17774,0,0.0,0.0
Organic Social,2024-12-10,3707,1377,0.3714594011329916,10.234151605071489,6.134879956838414,22742,16,0.0043161586188292,6108.11
Paid Search,2024-12-20,3704,1719,0.4640928725701944,35.86042116630669,9.392818574514038,34791,51,0.013498920086393,34376.980615
Affiliates,2024-12-02,3665,975,0.2660300136425648,7.88130968622101,5.455934515688949,19996,21,0.0057298772169167,9958.266364
Paid Social,2024-12-04,3653,939,0.2570490008212428,2.3846153846153846,4.728989871338626,17275,2,0.0005474952094169,1275.0
Paid Search,2024-12-19,3646,1835,0.5032912781130006,38.79950630828305,9.960778935820075,36317,76,0.0205704882062534,46546.695809
Paid Search,2024-12-08,3644,1819,0.4991767288693743,37.10428100987925,10.931668496158068,39835,56,0.0153677277716794,33842.119524
