Session default channel group,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Shopping,2024-12-29,7081,2829,0.3995198418302499,11.309419573506569,5.879536788589182,41633,27,0.0036717977686767,13838.06
Unassigned,2024-12-18,6927,2128,0.3072036956835571,21.694239930705933,6.87527067994803,47625,182,0.0261296376497762,109088.169136
Paid Shopping,2024-12-27,6773,2639,0.3896353166986564,9.944485456961464,5.823268861656578,39441,30,0.004429351838181,21457.19
Direct,2024-12-04,6771,2653,0.3918180475557524,22.1981981981982,7.621030866932506,51602,86,0.012553537143701,53360.4
Paid Shopping,2024-12-24,6649,2251,0.3385471499473605,6.561287411640849,5.280342908708076,35109,9,0.0013535870055647,7076.2
Paid Shopping,2024-12-14,6605,2206,0.3339894019682059,8.21438304314913,5.746555639666919,37956,12,0.0018168054504163,6025.76
Paid Shopping,2024-12-21,6605,2407,0.3644208932626798,9.932626797880394,5.757607872823619,38029,18,0.0027252081756245,16658.51
Unassigned,2024-12-14,6548,2065,0.3153634697617593,23.99129505192425,7.425626145387905,48623,169,0.0250458155161881,99719.725317
Paid Shopping,2024-12-31,6489,2357,0.3632300816766836,9.478810294344274,5.320850670365234,34527,11,0.0015410695022345,4481.28
Direct,2024-12-10,6449,2493,0.3865715614824003,21.006822763219105,7.461311831291673,48118,73,0.0113195844316948,43196.408715
Paid Shopping,2024-12-28,6447,2635,0.4087172328214673,11.937335194664184,5.9959671164882895,38656,12,0.0017062199472622,5810.52
Paid Shopping,2024-12-30,6442,2427,0.3767463520645762,10.423781434337162,5.68581185967091,36628,16,0.0024837007140639,8746.74
Paid Search,2024-12-03,6429,2977,0.4630580183543319,37.68750972157411,10.261627002644268,65972,112,0.0174210608181676,74465.537386
Direct,2024-12-11,6273,2518,0.4014028375577873,23.200063765343536,7.589351187629523,47608,80,0.0125936553483181,54914.42796
Unassigned,2024-12-23,6240,1918,0.3073717948717949,26.103365384615383,7.279967948717949,45427,143,0.0225961538461538,89498.786557
Unassigned,2024-12-31,6186,1922,0.3107015842224377,34.03200775945684,8.103136113805366,50126,193,0.0307145166505011,111390.178921
Unassigned,2024-12-28,6132,1748,0.2850619699934768,26.15313111545988,6.949445531637313,42614,139,0.0223418134377038,76071.255018
Paid Search,2024-12-01,6008,2922,0.4863515312916112,41.630659121171774,10.622003994673769,63817,94,0.015479360852197,48519.371792
Unassigned,2024-12-30,5971,1737,0.2909060458884609,27.420365097973537,7.059119075531736,42150,140,0.0227767543125104,82014.827466
Unassigned,2024-12-29,5867,1570,0.267598431907278,25.659280722686212,6.967785921254475,40880,147,0.0248849497187659,85997.838641
Direct,2024-12-26,5862,2550,0.4350051177072671,31.48362333674514,8.1985670419652,48060,59,0.0100648242920504,29327.151258
Direct,2024-12-16,5819,2465,0.4236123045196769,24.713868362261557,7.748066678123389,45086,99,0.0168413816807011,65495.190631
Direct,2024-12-17,5815,2402,0.4130696474634566,22.308512467755804,7.212209802235598,41939,92,0.0154772141014617,52950.1
Direct,2024-12-15,5727,2256,0.393923520167627,21.772830452243756,7.769338222455038,44495,97,0.0169373144752924,51286.622524
Direct,2024-12-12,5653,2324,0.4111091455864143,24.492658765257385,7.924995577569432,44800,75,0.0132672917035202,49122.45
Direct,2024-12-18,5640,2354,0.4173758865248227,24.743439716312057,7.553191489361702,42600,92,0.0163120567375886,66779.855517
Paid Search,2024-12-27,5637,2629,0.4663828277452546,35.37892496008515,8.867305304239844,49985,55,0.0097569629235408,32718.181641
Direct,2024-12-27,5549,2400,0.4325103622274284,26.62353577221121,7.750585691115516,43008,44,0.0079293566408361,20025.349715
Paid Shopping,2024-12-07,5533,1610,0.2909813844207482,7.520332550153624,5.780227724561721,31982,16,0.0028917404662931,7605.05
Direct,2024-12-13,5526,2158,0.3905175533840029,23.433224755700326,7.625226203402099,42137,95,0.0170104958378574,52907.372727
Direct,2024-12-19,5342,2312,0.4327967053538,24.28266566828903,7.496068888056907,40044,86,0.0155372519655559,61561.162025
Direct,2024-12-25,5274,2291,0.4343951459992415,25.941031475161168,7.704967766401213,40636,38,0.0072051573758058,21068.1
Direct,2024-12-20,5248,2258,0.4302591463414634,24.208841463414632,7.415396341463414,38916,73,0.0139100609756097,40270.02
Cross-network,2024-12-02,5192,2333,0.4493451463790446,30.26463790446841,8.463597842835132,43943,76,0.0142526964560862,45807.8
Unassigned,2024-12-21,5122,1451,0.2832877782116361,25.27254978524014,7.004099960952753,35875,112,0.0218664584146817,62896.894104
Paid Search,2024-12-04,5110,2391,0.4679060665362035,36.035420743639925,9.799804305283756,50077,68,0.0133072407045009,39985.7
Referral,2024-12-01,5073,1835,0.3617189040015769,19.380642617780406,6.644983244628425,33710,25,0.0049280504632367,19955.93851
Unassigned,2024-12-22,5037,1187,0.2356561445304744,23.844351796704387,6.819535437760572,34350,90,0.0176692475679968,53579.489433
Direct,2024-12-14,4917,2024,0.4116331096196868,26.024608501118568,8.078299776286354,39721,88,0.0176937156802928,53268.936697
Direct,2024-12-28,4892,2106,0.4304987735077678,29.95175797219951,7.93090760425184,38798,52,0.0106295993458708,29368.75
Referral,2024-12-28,4889,1561,0.3192881979955001,11.418899570464308,5.830231131110657,28504,13,0.00265903047658,5468.61604
Direct,2024-12-29,4836,2132,0.4408602150537634,34.56182795698925,8.301488833746898,40146,67,0.0138544251447477,37455.773562
Organic Shopping,2024-12-16,4814,1169,0.2428334025758205,7.571042791857083,5.233901121728293,25196,3,0.0006231823847112,1236.4
Paid Search,2024-12-16,4801,2299,0.4788585711310144,39.76504894813581,9.948968964799,47765,92,0.0187460945636325,49647.663061
Direct,2024-12-30,4800,2107,0.4389583333333333,27.475,7.699583333333333,36958,56,0.0116666666666666,32898.338607
Unassigned,2024-12-25,4731,1361,0.2876770238850137,25.841893891354893,7.107376875924752,33625,84,0.0177552314521242,45200.225669
Paid Search,2024-12-12,4722,2181,0.4618805590851334,33.282083862770016,9.439220669207964,44572,55,0.0116476069462092,35505.522557
Paid Search,2024-12-10,4690,2197,0.4684434968017057,36.48976545842218,9.911940298507462,46487,59,0.012366737739872,36066.686903
Paid Search,2024-12-26,4687,2259,0.4819714102837636,33.683166204395135,8.579261787924045,40211,38,0.0081075314700234,16120.080394
Paid Search,2024-12-29,4675,2219,0.4746524064171123,32.740748663101606,8.182032085561497,38251,46,0.0096256684491978,29664.886987
Affiliates,2024-12-16,4620,1329,0.2876623376623377,4.644372294372294,5.001298701298701,23106,5,0.001082251082251,4044.2
Organic Shopping,2024-12-22,4521,1397,0.3090024330900243,9.618668436186685,5.618226056182261,25400,12,0.0026542800265428,9156.6
Unassigned,2024-12-24,4499,1367,0.3038452989553234,24.221382529450988,6.760168926428095,30414,82,0.0182262725050011,46539.526717
Organic Search,2024-12-02,4494,2038,0.4534935469514908,42.2659101023587,9.59078771695594,43101,88,0.0193591455273698,52817.320578
Paid Search,2024-12-15,4489,2114,0.4709289374025395,37.76676319893072,10.251058142125196,46017,73,0.016039206950323,47612.49974
Paid Search,2024-12-28,4482,2099,0.4683177153056671,36.738955823293175,8.693886657742079,38966,36,0.0080321285140562,21261.460023
Direct,2024-12-31,4459,1966,0.4409060327427674,27.18457053150931,7.506840098676833,33473,70,0.0152500560663825,45480.09822
Direct,2024-12-22,4448,1900,0.427158273381295,25.77248201438849,7.823291366906475,34798,53,0.0116906474820143,30936.0
Direct,2024-12-21,4399,1923,0.4371448056376449,26.56490111388952,7.84041827688111,34490,52,0.011820868379177,36780.9
