date,platform,spend,accounting_mode,attribution_model,attribution_window
2024-01-31,TikTok,323.32186937674436,Cash snapshot,Monthly allocation,1
2024-02-01,Google,7683.1,Cash snapshot,Platform reported,1
2024-02-01,Meta,12181.94,Cash snapshot,Platform reported,1
2024-02-01,ShareASale,3438.425792099841,Cash snapshot,Monthly allocation,1
2024-02-01,ShopMy,876.2269677905515,Cash snapshot,Monthly allocation,1
2024-02-02,Google,7477.0,Cash snapshot,Platform reported,1
2024-02-02,Meta,12074.43,Cash snapshot,Platform reported,1
2024-02-02,ShareASale,3384.143257926216,Cash snapshot,Monthly allocation,1
2024-02-02,ShopMy,862.3939455882909,Cash snapshot,Monthly allocation,1
2024-02-03,Google,8760.1,Cash snapshot,Platform reported,1
2024-02-03,Meta,12481.85,Cash snapshot,Platform reported,1
2024-02-03,ShareASale,3676.7541748969657,Cash snapshot,Monthly allocation,1
2024-02-03,ShopMy,936.9610853267098,Cash snapshot,Monthly allocation,1
2024-02-04,Google,8782.45,Cash snapshot,Platform reported,1
2024-02-04,Meta,12989.63,Cash snapshot,Platform reported,1
2024-02-04,ShareASale,3768.5140034785286,Cash snapshot,Monthly allocation,1
2024-02-04,ShopMy,960.3445873199003,Cash snapshot,Monthly allocation,1
2024-02-05,Google,7334.83,Cash snapshot,Platform reported,1
2024-02-05,Meta,12022.97,Cash snapshot,Platform reported,1
2024-02-05,ShareASale,3350.627977507737,Cash snapshot,Monthly allocation,1
2024-02-05,ShopMy,853.8531207133706,Cash snapshot,Monthly allocation,1
2024-02-06,Google,7985.55,Cash snapshot,Platform reported,1
2024-02-06,Meta,12598.94,Cash snapshot,Platform reported,1
2024-02-06,ShareASale,3562.954886233366,Cash snapshot,Monthly allocation,1
2024-02-06,ShopMy,907.9611848863597,Cash snapshot,Monthly allocation,1
2024-02-07,Google,6919.81,Cash snapshot,Platform reported,1
2024-02-07,Meta,12570.61,Cash snapshot,Platform reported,1
2024-02-07,ShareASale,3373.583079966544,Cash snapshot,Monthly allocation,1
2024-02-07,ShopMy,859.7028557488092,Cash snapshot,Monthly allocation,1
2024-02-08,Google,7445.7,Cash snapshot,Platform reported,1
2024-02-08,Meta,12553.85,Cash snapshot,Platform reported,1
2024-02-08,ShareASale,3461.708033328419,Cash snapshot,Monthly allocation,1
2024-02-08,ShopMy,882.1600688282291,Cash snapshot,Monthly allocation,1
2024-02-09,Google,7311.32,Cash snapshot,Platform reported,1
2024-02-09,Meta,12635.4,Cash snapshot,Platform reported,1
2024-02-09,ShareASale,3452.563725811463,Cash snapshot,Monthly allocation,1
2024-02-09,ShopMy,879.8297905751587,Cash snapshot,Monthly allocation,1
2024-02-10,Google,7613.64,Cash snapshot,Platform reported,1
2024-02-10,Meta,12796.39,Cash snapshot,Platform reported,1
2024-02-10,ShareASale,3532.757727622573,Cash snapshot,Monthly allocation,1
2024-02-10,ShopMy,900.2659294627239,Cash snapshot,Monthly allocation,1
2024-02-11,Google,7177.99,Cash snapshot,Platform reported,1
2024-02-11,Meta,13431.0,Cash snapshot,Platform reported,1
2024-02-11,ShareASale,3567.195573989667,Cash snapshot,Monthly allocation,1
2024-02-11,ShopMy,909.0418552857581,Cash snapshot,Monthly allocation,1
2024-02-12,Google,6791.08,Cash snapshot,Platform reported,1
2024-02-12,Meta,10926.77,Cash snapshot,Platform reported,1
2024-02-12,ShareASale,3066.770186244587,Cash snapshot,Monthly allocation,1
2024-02-12,ShopMy,781.5165728973021,Cash snapshot,Monthly allocation,1
2024-02-13,Google,6627.22,Cash snapshot,Platform reported,1
2024-02-13,Meta,10618.91,Cash snapshot,Platform reported,1
2024-02-13,ShareASale,2985.12050345264,Cash snapshot,Monthly allocation,1
2024-02-13,ShopMy,760.7094773542699,Cash snapshot,Monthly allocation,1
2024-02-14,Google,5533.61,Cash snapshot,Platform reported,1
2024-02-14,Meta,12393.32,Cash snapshot,Platform reported,1
2024-02-14,ShareASale,3102.959696288978,Cash snapshot,Monthly allocation,1
2024-02-14,ShopMy,790.7388817587818,Cash snapshot,Monthly allocation,1
2024-02-15,Google,9263.56,Cash snapshot,Platform reported,1
2024-02-15,Meta,9153.29,Cash snapshot,Platform reported,1
2024-02-15,ShareASale,3187.7596042713203,Cash snapshot,Monthly allocation,1
2024-02-15,ShopMy,812.3487610270815,Cash snapshot,Monthly allocation,1
2024-02-16,Google,5707.48,Cash snapshot,Platform reported,1
2024-02-16,Meta,9458.27,Cash snapshot,Platform reported,1
2024-02-16,ShareASale,2625.028993474877,Cash snapshot,Monthly allocation,1
2024-02-16,ShopMy,668.9460044766865,Cash snapshot,Monthly allocation,1
2024-02-17,Google,6763.29,Cash snapshot,Platform reported,1
2024-02-17,Meta,9567.18,Cash snapshot,Platform reported,1
2024-02-17,ShareASale,2826.629558516504,Cash snapshot,Monthly allocation,1
2024-02-17,ShopMy,720.3206341741354,Cash snapshot,Monthly allocation,1
2024-02-18,Google,7153.26,Cash snapshot,Platform reported,1
2024-02-18,Meta,10647.41,Cash snapshot,Platform reported,1
2024-02-18,ShareASale,3081.1054417538485,Cash snapshot,Monthly allocation,1
2024-02-18,ShopMy,785.1696799372281,Cash snapshot,Monthly allocation,1
2024-02-19,Google,6949.05,Cash snapshot,Platform reported,1
2024-02-19,Meta,10328.48,Cash snapshot,Platform reported,1
2024-02-19,ShareASale,2990.5555073525534,Cash snapshot,Monthly allocation,1
2024-02-19,ShopMy,762.0944998253357,Cash snapshot,Monthly allocation,1
2024-02-20,Google,5681.0,Cash snapshot,Platform reported,1
2024-02-20,Meta,10148.0,Cash snapshot,Platform reported,1
2024-02-20,ShareASale,2739.8304691633334,Cash snapshot,Monthly allocation,1
2024-02-20,ShopMy,698.201296003262,Cash snapshot,Monthly allocation,1
2024-02-21,Google,6487.35,Cash snapshot,Platform reported,1
2024-02-21,Meta,9941.96,Cash snapshot,Platform reported,1
2024-02-21,ShareASale,2843.737704550498,Cash snapshot,Monthly allocation,1
2024-02-21,ShopMy,724.6803673282803,Cash snapshot,Monthly allocation,1
2024-02-22,Google,6512.7,Cash snapshot,Platform reported,1
2024-02-22,Meta,9898.38,Cash snapshot,Platform reported,1
2024-02-22,ShareASale,2840.5822866812173,Cash snapshot,Monthly allocation,1
2024-02-22,ShopMy,723.8762603331361,Cash snapshot,Monthly allocation,1
2024-02-23,Google,5693.27,Cash snapshot,Platform reported,1
2024-02-23,Meta,9953.73,Cash snapshot,Platform reported,1
2024-02-23,ShareASale,2708.328217259377,Cash snapshot,Monthly allocation,1
2024-02-23,ShopMy,690.173458750587,Cash snapshot,Monthly allocation,1
2024-02-24,Google,5399.41,Cash snapshot,Platform reported,1
2024-02-24,Meta,10131.96,Cash snapshot,Platform reported,1
2024-02-24,ShareASale,2688.313901942594,Cash snapshot,Monthly allocation,1
2024-02-24,ShopMy,685.0731355553845,Cash snapshot,Monthly allocation,1
2024-02-25,Google,6492.62,Cash snapshot,Platform reported,1
2024-02-25,Meta,10677.84,Cash snapshot,Platform reported,1
2024-02-25,ShareASale,2972.0228364110335,Cash snapshot,Monthly allocation,1
2024-02-25,ShopMy,757.3717496349844,Cash snapshot,Monthly allocation,1
2024-02-26,Google,6354.94,Cash snapshot,Platform reported,1
2024-02-26,Meta,10398.14,Cash snapshot,Platform reported,1
2024-02-26,ShareASale,2899.7788259732674,Cash snapshot,Monthly allocation,1
2024-02-26,ShopMy,738.9615369288222,Cash snapshot,Monthly allocation,1
2024-02-27,Google,6447.17,Cash snapshot,Platform reported,1
2024-02-27,Meta,10508.9,Cash snapshot,Platform reported,1
2024-02-27,ShareASale,2934.9142222039495,Cash snapshot,Monthly allocation,1
2024-02-27,ShopMy,747.9152220053086,Cash snapshot,Monthly allocation,1
2024-02-28,Google,6094.95,Cash snapshot,Platform reported,1
2024-02-28,Meta,9876.67,Cash snapshot,Platform reported,1
2024-02-28,ShareASale,2764.5164645838954,Cash snapshot,Monthly allocation,1
2024-02-28,ShopMy,704.4921209976385,Cash snapshot,Monthly allocation,1
2024-02-29,Google,6108.5,Cash snapshot,Platform reported,1
2024-02-29,Meta,9685.76,Cash snapshot,Platform reported,1
2024-02-29,ShareASale,2733.8173470141937,Cash snapshot,Monthly allocation,1
2024-02-29,ShopMy,696.6689494859107,Cash snapshot,Monthly allocation,1
2024-03-01,Google,5897.14,Cash snapshot,Platform reported,1
2024-03-01,Meta,9738.97,Cash snapshot,Platform reported,1
2024-03-01,ShareASale,2874.4167991888335,Cash snapshot,Monthly allocation,1
2024-03-01,ShopMy,214.65348942080686,Cash snapshot,Monthly allocation,1
2024-03-01,TikTok,340.2873562240089,Cash snapshot,Monthly allocation,1
2024-03-02,Google,5643.21,Cash snapshot,Platform reported,1
2024-03-02,Meta,10123.63,Cash snapshot,Platform reported,1
2024-03-02,ShareASale,2898.449151746979,Cash snapshot,Monthly allocation,1
2024-03-02,ShopMy,216.4481589819689,Cash snapshot,Monthly allocation,1
2024-03-02,TikTok,343.1324222972946,Cash snapshot,Monthly allocation,1
2024-03-03,Google,6317.54,Cash snapshot,Platform reported,1
2024-03-03,Meta,10724.28,Cash snapshot,Platform reported,1
2024-03-03,ShareASale,3132.83122827559,Cash snapshot,Monthly allocation,1
2024-03-03,ShopMy,233.9511636258183,Cash snapshot,Monthly allocation,1
2024-03-03,TikTok,370.8797055690602,Cash snapshot,Monthly allocation,1
2024-03-04,Google,5617.08,Cash snapshot,Platform reported,1
2024-03-04,Meta,10935.85,Cash snapshot,Platform reported,1
2024-03-04,ShareASale,3042.957619753047,Cash snapshot,Monthly allocation,1
2024-03-04,ShopMy,227.23965133516944,Cash snapshot,Monthly allocation,1
2024-03-04,TikTok,360.2400333242145,Cash snapshot,Monthly allocation,1
2024-03-05,Google,4959.56,Cash snapshot,Platform reported,1
2024-03-05,Meta,10351.7,Cash snapshot,Platform reported,1
2024-03-05,ShareASale,2814.698985920924,Cash snapshot,Monthly allocation,1
2024-03-05,ShopMy,210.1939284405919,Cash snapshot,Monthly allocation,1
2024-03-05,TikTok,333.21767280087045,Cash snapshot,Monthly allocation,1
2024-03-06,Google,5423.04,Cash snapshot,Platform reported,1
2024-03-06,Meta,10068.91,Cash snapshot,Platform reported,1
2024-03-06,ShareASale,2847.9155833639857,Cash snapshot,Monthly allocation,1
2024-03-06,ShopMy,212.67445198535114,Cash snapshot,Monthly allocation,1
2024-03-06,TikTok,337.15001418220606,Cash snapshot,Monthly allocation,1
2024-03-07,Google,5183.53,Cash snapshot,Platform reported,1
2024-03-07,Meta,9930.54,Cash snapshot,Platform reported,1
2024-03-07,ShareASale,2778.449161083925,Cash snapshot,Monthly allocation,1
2024-03-07,ShopMy,207.48689187082553,Cash snapshot,Monthly allocation,1
2024-03-07,TikTok,328.9262432973806,Cash snapshot,Monthly allocation,1
2024-03-08,Google,4735.5,Cash snapshot,Platform reported,1
2024-03-08,Meta,9947.17,Cash snapshot,Platform reported,1
2024-03-08,ShareASale,2699.144052129712,Cash snapshot,Monthly allocation,1
2024-03-08,ShopMy,201.56460587154976,Cash snapshot,Monthly allocation,1
2024-03-08,TikTok,319.5377211217859,Cash snapshot,Monthly allocation,1
2024-03-09,Google,5518.08,Cash snapshot,Platform reported,1
2024-03-09,Meta,10132.04,Cash snapshot,Platform reported,1
2024-03-09,ShareASale,2876.992284994231,Cash snapshot,Monthly allocation,1
2024-03-09,ShopMy,214.84581957113102,Cash snapshot,Monthly allocation,1
2024-03-09,TikTok,340.5922546840925,Cash snapshot,Monthly allocation,1
2024-03-10,Google,5886.24,Cash snapshot,Platform reported,1
2024-03-10,Meta,10865.19,Cash snapshot,Platform reported,1
2024-03-10,ShareASale,3079.448264461928,Cash snapshot,Monthly allocation,1
2024-03-10,ShopMy,229.9646716663151,Cash snapshot,Monthly allocation,1
2024-03-10,TikTok,364.5599722483117,Cash snapshot,Monthly allocation,1
2024-03-11,Google,5139.79,Cash snapshot,Platform reported,1
2024-03-11,Meta,10625.17,Cash snapshot,Platform reported,1
2024-03-11,ShareASale,2898.1035476560337,Cash snapshot,Monthly allocation,1
2024-03-11,ShopMy,216.42235022518022,Cash snapshot,Monthly allocation,1
2024-03-11,TikTok,343.0915080142855,Cash snapshot,Monthly allocation,1
2024-03-12,Google,4724.75,Cash snapshot,Platform reported,1
2024-03-12,Meta,10379.55,Cash snapshot,Platform reported,1
