Month,"New
Revenue","New
Customers","New
AOV",,"Repeat
Revenue","Repeat
Orders","Repeat
AOV",,"Real
Revenue(1)","Shipping
Revenue(2)","Total
Orders","Total
AOV",,"Total
Spend","Total
Rev-net-Spend","Total
ROAS",,"ACQ
Spend","iAOV /
CAC","ACQ
CAC","ACQ
ROAS","New
Customer
Rev-net-Spend",,"RTN
Spend","RTN
CPO","Repeat
Rev-net-Spend",,"Facebook
Spend","TikTok
Spend","Google
Spend","Twitter
Spend","Pinterest
Spend",Bing,AppLovin,MNTN,"Paid
Channels",,"Share-A-Sale
Spend","ShopMy
Spend","Awin
Spend","Affiliate
Commissions(3)",,Total Spend
Jan-25,"$2,755,090","4,155",$663.08,,"$751,637","1,823",$412.31,,"$3,546,682","$9,639","6,022",$588.95,,"$1,017,721","$2,528,961",3.48x,,"$869,400",3.17x,$209.24,3.17x,"$1,885,690",,"$148,321",$81.36,"$603,316",,"$490,449","$32,705","$344,467",–,"$18,119",–,–,–,"$885,739",,"$19,244","$27,803","$76,862","$123,909",,"$1,009,648"
Feb-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$221,303","$32,255","$229,943",,"$21,600",$708,–,–,"$505,809",,"$12,939","$21,419","$42,651","$77,009",,"$582,818"
Mar-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$194,696","$26,393","$223,650",,"$25,649","$5,883",–,–,"$476,270",,"$7,323","$18,569","$79,582","$105,474",,"$581,744"
Apr-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$223,367","$24,884","$179,437",–,"$30,062","$5,228",–,–,"$462,977",,–,"$18,126","$53,540","$71,666",,"$534,643"
May-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$531,676","$61,568","$225,758",–,"$54,192","$4,894",–,–,"$878,088",,–,"$25,979","$63,332","$89,311",,"$967,399"
Jun-25,"(1) Gross Revenue, less discounts.",,,,,,,,,,,,,,,,,,,,,,,,,,,"$113,695","$27,502","$123,362",–,"$2,747","$3,970","$34,055",–,"$305,331",,–,"$13,032","$45,496","$58,527",,"$363,858"
Jul-25,(2) Shipping Revenue is not included in any metrics.,,,,,,,,,,,,,,,,,,,,,,,,,,,"$111,447","$24,252","$133,020",–,"$1,542","$5,470","$22,957",–,"$298,687",,–,"$14,067","$48,312","$62,378",,"$361,065"
Aug-25,(3) Includes platform fees. Does not include flat fee sponsorships.,,,,,,,,,,,,,,,,,,,,,,,,,,,"$141,459","$16,250","$211,782",–,"$1,167","$9,763","$12,655",–,"$393,076",,–,"$9,573","$63,107","$72,680",,"$465,756"
Sep-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$79,521","$14,859","$334,994",–,$601,"$10,321","$12,608",–,"$452,905",,–,"$11,216","$48,041","$59,257",,"$512,163"
Oct-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,770","$28,981","$261,711",,$613,"$6,820","$12,675",–,"$431,570",,–,"$14,910","$42,407","$57,317",,"$488,887"
Nov-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$647,641","$29,707","$803,874",,"$11,678","$8,611","$73,609","$14,824","$1,589,944",,–,"$43,776","$186,633","$230,409",,"$1,820,353"
