breakdown_platform_northbeam,campaign_name,adset_name,ad_name,spend,attributed_rev
Awin,AWIN / 214459 (custom spend input),AWIN / 214459 (custom spend input),AWIN / 214459 (custom spend input),22.74000000000001,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Accessories,73736317564549 (ResponsiveSearch),22.74,0.0
Microsoft Ads,US_Brand_Alone_Exact,BR_Alone_Exact,74286074429598 (ResponsiveSearch),22.08,0.0
Microsoft Ads,US_Brand_Alone_Exact,BR_Alone_Exact,74286074429598 (ResponsiveSearch),21.37,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Infrared,73805038251290 (ResponsiveSearch),21.29,0.0
Microsoft Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,73736317564570 (ResponsiveSearch),21.200000000000003,0.0
Microsoft Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,73736317564570 (ResponsiveSearch),21.0,0.0
Google Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,727749498895 (RESPONSIVE_SEARCH_AD),20.867554,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Accessories,73736317564549 (ResponsiveSearch),20.75,0.0
Google Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,727749498895 (RESPONSIVE_SEARCH_AD),19.68529,0.0
Facebook Ads,SB | Body Care & Supplements | Creative Testing | 42225,HD081 - ADV+ | 25+ F | High-Dration Education | All Exclusions | 73025,SB_HD_081_Static_CPG Hydration Education_v1_PDP_ToF,18.95,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Website,73667598485349 (ResponsiveSearch),18.78,0.0
Awin,AWIN / 216551 (custom spend input),AWIN / 216551 (custom spend input),AWIN / 216551 (custom spend input),18.75,0.0
Google Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,727749498895 (RESPONSIVE_SEARCH_AD),18.430079,0.0
Google Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,727749498895 (RESPONSIVE_SEARCH_AD),18.417462,0.0
Google Ads,US_Brand_Core,Brand_Accessories,760681777143 (RESPONSIVE_SEARCH_AD),18.123759,0.0
Awin,AWIN / 98969 (custom spend input),AWIN / 98969 (custom spend input),AWIN / 98969 (custom spend input),16.59,0.0
Google Ads,US_Brand_Core,Brand_Website,752274987324 (RESPONSIVE_SEARCH_AD),16.090981,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Website,73667598485349 (ResponsiveSearch),15.85,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_FSA/HSA,73598879686276 (ResponsiveSearch),15.55,0.0
Microsoft Ads,US_Brand_Alone_Exact,BR_Alone_Exact,74286074429598 (ResponsiveSearch),14.919999999999998,0.0
Google Ads,US_Brand_Core,Brand_Accessories,760681777143 (RESPONSIVE_SEARCH_AD),14.689264,0.0
Awin,AWIN / 1733931 (custom spend input),AWIN / 1733931 (custom spend input),AWIN / 1733931 (custom spend input),14.67,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_FSA/HSA,73598879686275 (ResponsiveSearch),13.59,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Website,73667598485349 (ResponsiveSearch),13.57,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_FSA/HSA,73598879686276 (ResponsiveSearch),13.08,0.0
