Day,month,month_name,platform,campaign_name,spend
2024-02-07,2,February,Meta,Meta Ads (Aggregated),12570.61
2024-02-06,2,February,Meta,Meta Ads (Aggregated),12598.94
2024-02-05,2,February,Meta,Meta Ads (Aggregated),12022.97
2024-02-04,2,February,Meta,Meta Ads (Aggregated),12989.63
2024-02-03,2,February,Meta,Meta Ads (Aggregated),12481.85
2024-02-02,2,February,Meta,Meta Ads (Aggregated),12074.43
2024-02-01,2,February,Meta,Meta Ads (Aggregated),12181.94
2024-01-31,1,January,Meta,Meta Ads (Aggregated),12358.1
2024-01-30,1,January,Meta,Meta Ads (Aggregated),12631.26
2024-01-29,1,January,Meta,Meta Ads (Aggregated),12869.16
2024-01-28,1,January,Meta,Meta Ads (Aggregated),13068.23
2024-01-27,1,January,Meta,Meta Ads (Aggregated),12108.77
2024-01-26,1,January,Meta,Meta Ads (Aggregated),11987.84
2024-01-25,1,January,Meta,Meta Ads (Aggregated),13153.43
2024-01-24,1,January,Meta,Meta Ads (Aggregated),11648.6
2024-01-23,1,January,Meta,Meta Ads (Aggregated),9812.78
2024-01-22,1,January,Meta,Meta Ads (Aggregated),9969.85
2024-01-21,1,January,Meta,Meta Ads (Aggregated),10245.27
2024-01-20,1,January,Meta,Meta Ads (Aggregated),9811.56
2024-01-19,1,January,Meta,Meta Ads (Aggregated),9700.35
2024-01-18,1,January,Meta,Meta Ads (Aggregated),9668.49
2024-01-17,1,January,Meta,Meta Ads (Aggregated),9556.6
2024-01-16,1,January,Meta,Meta Ads (Aggregated),9656.08
2024-01-15,1,January,Meta,Meta Ads (Aggregated),9603.27
2024-01-14,1,January,Meta,Meta Ads (Aggregated),9857.58
2024-01-13,1,January,Meta,Meta Ads (Aggregated),9575.92
2024-01-12,1,January,Meta,Meta Ads (Aggregated),9365.21
2024-01-11,1,January,Meta,Meta Ads (Aggregated),9355.91
2024-01-10,1,January,Meta,Meta Ads (Aggregated),9346.08
2024-01-09,1,January,Meta,Meta Ads (Aggregated),9504.06
2024-01-08,1,January,Meta,Meta Ads (Aggregated),10287.32
2024-01-07,1,January,Meta,Meta Ads (Aggregated),15399.64
2024-01-06,1,January,Meta,Meta Ads (Aggregated),14146.43
2024-01-05,1,January,Meta,Meta Ads (Aggregated),12956.89
2024-01-04,1,January,Meta,Meta Ads (Aggregated),12386.55
2024-01-03,1,January,Meta,Meta Ads (Aggregated),9901.9
2024-01-02,1,January,Meta,Meta Ads (Aggregated),9133.34
2024-01-01,1,January,Meta,Meta Ads (Aggregated),17149.02
